Sentence_id,Word,Label,,sentence_id,words,labels
0,A,B-C,,0,A,O
0,collision,I-C,,0,collision,O
0,hazard,I-C,,0,hazard,O
0,in,,,0,in,O
0,the,,,0,the,O
0,environment,,,0,environment,O
0,ahead,,,0,ahead,O
0,was,,,0,was,O
0,detected,,,0,detected,O
0,by,,,0,by,O
0,the,,,0,the,B-C
0,"software,",,,0,"software,",I-C
0,which,,,0,which,O
0,triggered,,,0,triggered,O
0,an,B-E,,0,an,B-E
0,Estop,I-E,,0,Estop,I-E
1,The,B-C,,1,The,B-C
1,weather,I-C,,1,weather,I-C
1,caused,,,1,caused,O
1,a,B-CE,,1,a,B-E
1,lidar,I-CE,,1,lidar,I-E
1,impact,I-CE,,1,impact,O
1,that,,,1,that,O
1,the,,,1,the,O
1,software,,,1,software,O
1,interpereted,,,1,interpereted,O
1,as,,,1,as,O
1,an,,,1,an,O
1,obstacle,,,1,obstacle,O
1,and,,,1,and,O
1,caused,,,1,caused,O
1,an,B-E,,1,an,B-E
1,Estop,I-E,,1,Estop,I-E
2,The,,,2,The,O
2,Test,,,2,Test,O
2,Driver,,,2,Driver,O
2,chose,,,2,chose,O
2,to,,,2,to,O
2,stop,,,2,stop,O
2,preemtively,,,2,preemtively,O
2,to,,,2,to,O
2,let,,,2,let,O
2,a,,,2,a,O
2,pedestrian,,,2,pedestrian,O
2,clear,,,2,clear,O
2,from,,,2,from,O
2,the,,,2,the,O
2,AV's,,,2,AV's,O
2,path,,,2,path,O
3,The,,,3,The,O
3,Test,,,3,Test,O
3,Driver,,,3,Driver,O
3,saw,,,3,saw,O
3,an,,,3,an,O
3,inanimate,,,3,inanimate,O
3,obstacle,,,3,obstacle,O
3,ahead,,,3,ahead,O
3,and,,,3,and,O
3,preemtively,,,3,preemtively,B-C
3,triggered,,,3,triggered,O
3,a,,,3,a,B-E
3,soft,,,3,soft,I-E
3,stop,,,3,stop,I-E
4,The,,,4,The,O
4,Test,,,4,Test,O
4,Driver,,,4,Driver,O
4,chose,,,4,chose,O
4,to,,,4,to,O
4,stop,,,4,stop,O
4,preemtively,,,4,preemtively,O
4,to,,,4,to,O
4,let,,,4,let,O
4,another,,,4,another,O
4,vehicle,,,4,vehicle,O
4,clear,,,4,clear,O
4,from,,,4,from,O
4,the,,,4,the,O
4,AV's,,,4,AV's,O
4,path,,,4,path,O
5,The,B-C,,5,The,O
5,software,I-C,,5,software,I-C
5,detected,,,5,detected,O
5,a,,,5,a,O
5,pedestrian,,,5,pedestrian,O
5,in,,,5,in,O
5,the,,,5,the,O
5,AV's,,,5,AV's,O
5,path,,,5,path,O
5,and,,,5,and,O
5,triggered,,,5,triggered,O
5,an,B-E,,5,an,O
5,Estop,I-E,,5,Estop,O
6,The,B-C,,6,The,B-C
6,software,I-C,,6,software,I-C
6,detected,,,6,detected,O
6,an,,,6,an,O
6,inanimate,,,6,inanimate,O
6,object,,,6,object,O
6,in,,,6,in,O
6,the,,,6,the,O
6,AV's,,,6,AV's,O
6,path,,,6,path,O
6,and,,,6,and,O
6,triggered,,,6,triggered,O
6,an,B-E,,6,an,B-E
6,Estop,I-E,,6,Estop,I-E
7,The,B-C,,7,The,O
7,software,I-C,,7,software,O
7,detected,,,7,detected,O
7,another,,,7,another,O
7,vehicle,,,7,vehicle,I-C
7,in,,,7,in,O
7,the,,,7,the,O
7,AV's,,,7,AV's,O
7,path,,,7,path,O
7,and,,,7,and,O
7,triggered,,,7,triggered,O
7,an,B-E,,7,an,O
7,Estop,I-E,,7,Estop,O
8,The,,,8,The,O
8,Test,,,8,Test,O
8,Driver,,,8,Driver,O
8,chose,,,8,chose,O
8,to,,,8,to,O
8,stop,,,8,stop,O
8,preemtively,,,8,preemtively,O
8,to,,,8,to,O
8,let,,,8,let,O
8,a,,,8,a,O
8,cyclist,,,8,cyclist,O
8,clear,,,8,clear,O
8,from,,,8,from,O
8,the,,,8,the,O
8,AV's,,,8,AV's,O
8,path,,,8,path,O
9,Planning,,,9,Planning,O
9,Discrepancy:,,,9,Discrepancy:,O
9,Failure,,,9,Failure,O
9,to,,,9,to,O
9,yield,,,9,yield,O
9,to,,,9,to,O
9,other,,,9,other,O
9,actors,,,9,actors,O
10,Perception,,,10,Perception,O
10,Discrepancy:,,,10,Discrepancy:,O
10,Lost,,,10,Lost,O
10,track,,,10,track,O
10,of,,,10,of,O
10,open,,,10,open,O
10,door,,,10,door,O
10,of,,,10,of,O
10,parked,,,10,parked,O
10,vehicle,,,10,vehicle,O
11,Planning,B-E,,,,
11,Module,I-E,,,,
11,Failure,I-E,,,,
11,due,,,,,
11,to,,,,,
11,software,B-C,,,,
11,issue,I-C,,,,
12,Planning,,,,,
12,Discrepancy:,,,,,
12,AV,,,,,
12,reacted,,,,,
12,poorly,,,,,
12,for,,,,,
12,merging,,,,,
12,vehicle,,,,,
13,Planning,,,,,
13,Discrepancy:,,,,,
13,Poor,,,,,
13,lane,,,,,
13,change,,,,,
13,in,,,,,
13,contested,,,,,
13,target,,,,,
13,lane,,,,,
14,Planning,,,,,
14,Discrepancy:,,,,,
14,Incorrect,,,,,
14,behavior,,,,,
14,at,,,,,
14,traffic,,,,,
14,light,,,,,
15,Driver,,,,,
15,performed,,,,,
15,steering,,,,,
15,maneuver,,,,,
15,because,,,,,
15,the,,,,,
15,vehicle,,,,,
15,didnt,,,,,
15,drive,,,,,
15,on,,,,,
15,the,,,,,
15,expected,,,,,
15,path.,,,,,
15,Vehicle,,,,,
15,not,,,,,
15,in,,,,,
15,an,,,,,
15,active,,,,,
15,construction,,,,,
15,zone.,,,,,
15,No,,,,,
15,emergency,,,,,
15,vehicles,,,,,
15,or,,,,,
15,collisions,,,,,
15,present,,,,,
15,in,,,,,
15,the,,,,,
15,vicinity.,,,,,
15,Weather,,,,,
15,and/or,,,,,
15,road,,,,,
15,conditions,,,,,
15,dry,,,,,
15,in,,,,,
15,the,,,,,
15,area.,,,,,
16,Disengage,B-E,,,,
16,for,,,,,
16,unwanted,B-C,,,,
16,maneuver,I-C,,,,
16,of,,,,,
16,the,,,,,
16,vehicle,,,,,
16,that,,,,,
16,was,,,,,
16,undesirable,,,,,
16,under,,,,,
16,the,,,,,
16,circumstances,,,,,
17,Planning,,,,,
17,"discrepancy,",,,,,
17,incorrect,,,,,
17,trajectory,,,,,
17,estimating,,,,,
17,during,,,,,
17,parking,,,,,
17,maneuver,,,,,
18,Safety,,,,,
18,Driver,,,,,
18,disengaged,,,,,
18,to,,,,,
18,manually,,,,,
18,drive,,,,,
18,through,,,,,
18,crosswalk.,,,,,
19,The,,,,,
19,planner,,,,,
19,was,,,,,
19,not,,,,,
19,able,,,,,
19,to,,,,,
19,generate,,,,,
19,a,,,,,
19,valid,,,,,
19,trajectory.,,,,,
19,The,,,,,
19,system,,,,,
19,asked,,,,,
19,the,,,,,
19,operator,,,,,
19,to,,,,,
19,take,,,,,
19,control,,,,,
19,of,,,,,
19,the,,,,,
19,vehicle.,,,,,
20,Driver,B-E,,,,
20,disengagement,I-E,,,,
20,due,,,,,
20,to,,,,,
20,planning,B-C,,,,
20,discrepancy,I-C,,,,
20,in,,,,,
20,the,,,,,
20,determination,,,,,
20,of,,,,,
20,autonomous,,,,,
20,vehicle,,,,,
20,speed,,,,,
21,Driver,B-E,,,,
21,disengagement,I-E,,,,
21,due,,,,,
21,to,,,,,
21,planning,B-C,,,,
21,discrepancy,I-C,,,,
21,in,,,,,
21,the,,,,,
21,recommendation,,,,,
21,of,,,,,
21,lane,,,,,
21,change,,,,,
22,Driver,B-E,,,,
22,disengagement,I-E,,,,
22,due,,,,,
22,to,,,,,
22,safety,B-C,,,,
22,monitor,I-C,,,,
22,notification,I-C,,,,
22,of,,,,,
22,general,,,,,
22,system,,,,,
22,discrepancy,,,,,
23,Delivery,,,,,
23,truck,,,,,
23,parked,,,,,
23,in,,,,,
23,"lane,",,,,,
23,would,,,,,
23,break,,,,,
23,rules,,,,,
23,to,,,,,
23,cross,,,,,
23,into,,,,,
23,oncoming,,,,,
23,lane,,,,,
23,to,,,,,
23,get,,,,,
23,around,,,,,
23,it,,,,,
24,Car,,,,,
24,detected,,,,,
24,red,,,,,
24,traffic,,,,,
24,light,,,,,
24,color,,,,,
24,instead,,,,,
24,of,,,,,
24,"green,",,,,,
24,missclassification,,,,,
24,in,,,,,
24,perception,,,,,
25,Controls,,,,,
25,disengaged,,,,,
25,after,,,,,
25,requested,,,,,
25,a,,,,,
25,deceleration,,,,,
25,beyond,,,,,
25,limit,,,,,
26,Car,,,,,
26,software,,,,,
26,"crashed,",,,,,
26,and,,,,,
26,system,,,,,
26,needed,,,,,
26,to,,,,,
26,be,,,,,
26,"rebooted,",,,,,
26,under,,,,,
26,investigation,,,,,
27,Vehicle,,,,,
27,in,,,,,
27,adjacent,,,,,
27,lane,,,,,
27,was,,,,,
27,too,,,,,
27,close,,,,,
27,to,,,,,
27,car,,,,,
28,Industrial,,,,,
28,garbage,,,,,
28,bin,,,,,
28,obstructing,,,,,
28,lane,,,,,
29,Car,,,,,
29,steering,,,,,
29,into,,,,,
29,bike,,,,,
29,"lane,",,,,,
29,disagreement,,,,,
29,between,,,,,
29,actual,,,,,
29,and,,,,,
29,estimated,,,,,
29,positions,,,,,
30,Car,B-E,,,,
30,too,I-E,,,,
30,slow,I-E,,,,
30,to,,,,,
30,make,,,,,
30,left,,,,,
30,turn,,,,,
30,at,,,,,
30,"intersection,",,,,,
30,due,,,,,
30,to,,,,,
30,internal,B-C,,,,
30,system,I-C,,,,
30,speed,I-C,,,,
30,contraint,I-C,,,,
31,Car,,,,,
31,stopped,,,,,
31,in,,,,,
31,middle,,,,,
31,of,,,,,
31,intersection,,,,,
31,and,,,,,
31,did,,,,,
31,not,,,,,
31,proceed,,,,,
31,after,,,,,
31,pedestrian,,,,,
31,was,,,,,
31,finished,,,,,
31,crossing,,,,,
31,crosswalk,,,,,
32,Car,,,,,
32,did,,,,,
32,not,,,,,
32,see,,,,,
32,vehicle,,,,,
32,to,,,,,
32,right,,,,,
32,during,,,,,
32,4-way,,,,,
32,"stop,",,,,,
32,perception,,,,,
32,issue,,,,,
33,Person,,,,,
33,on,,,,,
33,scooter,,,,,
33,weaving,,,,,
33,in,,,,,
33,lane,,,,,
34,Yellow,,,,,
34,light,,,,,
34,detected,,,,,
34,in,,,,,
34,middle,,,,,
34,of,,,,,
34,right-turn,,,,,
34,at,,,,,
34,traffic,,,,,
34,light,,,,,
35,Car,,,,,
35,did,,,,,
35,not,,,,,
35,detect,,,,,
35,vehicle,,,,,
35,in,,,,,
35,"front,",,,,,
35,perception,,,,,
35,saw,,,,,
35,vehicle,,,,,
35,in,,,,,
35,motion,,,,,
35,when,,,,,
35,static,,,,,
36,Vehicle,,,,,
36,backing,,,,,
36,up,,,,,
36,from,,,,,
36,parking,,,,,
36,spot,,,,,
36,into,,,,,
36,lane,,,,,
37,Car,,,,,
37,stopped,,,,,
37,on,,,,,
37,right,,,,,
37,turn,,,,,
37,on,,,,,
37,red,,,,,
37,(did,,,,,
37,not,,,,,
37,complete,,,,,
37,"turn),",,,,,
37,slow,,,,,
37,down,,,,,
37,command,,,,,
37,during,,,,,
37,turn,,,,,
37,execution,,,,,
38,Safety,,,,,
38,Driver,B-E,,,,
38,disengaged,I-E,,,,
38,due,,,,,
38,to,,,,,
38,cut-in,B-C,,,,
38,issue.,I-C,,,,
39,Disengage,B-E,,,,
39,for,,,,,
39,unwanted,B-CE,,,,
39,maneuver,I-CE,,,,
39,of,,,,,
39,the,,,,,
39,vehicle,,,,,
39,caused,,,,,
39,by,,,,,
39,a,B-C,,,,
39,planning,I-C,,,,
39,discrepancy,I-C,,,,
39,while,,,,,
39,generating,,,,,
39,an,,,,,
