Sentence_id,Word,Label
5,loss,I-C
6,sudden,I-E
6,turn,I-E
9,accident,I-E
11,power,B-C
11,steering,I-C
11,issue,I-C
17,loss,I-C
18,update,I-C
19,failure,I-E
23,rain,I-C
23,initial,B-C
24,light,I-C
24,rain,I-C
25,failure,I-C
27,fatal,B-E
27,crash,I-E
29,failure,I-E
29,leaking,B-C
29,loss,I-C
30,experienced,B-E
30,loss,I-E
32,dangerous,B-C
32,loss,I-C
33,failure,I-C
34,clicking,I-E
34,multiple,B-C
34,makes,B-E
34,clicking,I-E
34,sound,I-E
35,terrible,B-C
35,accident,I-C
35,loss,I-E
36,snow,I-C
37,unwanted,B-E
37,lane,I-E
37,change,I-E
37,grinding,I-E
39,problem,I-C
47,hazard,I-E
48,electrical,I-C
48,problem,I-C
48,loss,I-E
49,end,B-E
58,multiple,B-C
59,incident,I-C
61,grinding,I-C
61,sound,I-E
67,traffic,I-C
68,small,B-E
69,investigation,I-C
72,heavy,I-C
72,rain,I-C
72,small,B-E
72,sudden,B-C
72,rain,I-C
72,cause,B-E
74,start,I-C
75,loss,I-E
78,start,I-C
81,noise,I-E
82,investigation,I-C
82,recall,I-E
85,not,B-C
86,end,B-E
86,collision,I-E
86,sudden,B-C
86,application,I-C
87,acceleration,I-C
92,failure,I-E
93,diagnosis,I-C
111,software,I-C
112,failure,I-E
113,failure,I-E
114,failure,I-C
116,issue,I-C
118,collision,B-E
119,issue,I-C
122,failure,I-C
123,recall,I-E
123,issue,I-C
127,accident,I-C
130,failure,I-C
131,hard,B-C
131,steering,I-C
133,crash,I-E
134,emergency,I-C
141,cause,B-E
141,damage,I-E
141,damage,I-E
142,failure,I-C
143,acceleration,I-C
144,issue,I-C
144,accident,I-E
148,sound,I-E
150,acceleration,I-C
150,accident,I-C
152,starting,I-C
152,force,I-C
153,safety,B-E
154,automatic,B-C
154,braking,I-C
154,cause,B-E
155,fear,I-E
156,near,I-E
156,misses,I-E
156,abs,I-C
157,rubbing,I-C
157,sound,I-E
157,failure,I-C
158,failure,I-C
161,increased,B-E
161,force,I-E
162,failure,I-C
162,vehicle,B-E
163,system,I-C
165,alarm,I-E
170,total,B-E
170,failure,I-E
172,failure,I-C
175,sudden,I-C
175,loss,I-C
176,problem,I-E
180,wind,I-C
181,failure,I-C
182,temporary,B-E
182,loss,I-E
182,concern,I-E
183,impact,I-E
183,near,B-C
183,accident,I-C
186,speed,I-C
186,minor,B-E
186,body,I-E
186,damage,I-E
188,failure,I-C
188,failure,I-C
190,crash,I-E
191,failure,I-C
192,fueling,I-C
198,road,I-C
201,noise,I-E
204,problem,I-C
206,steering,B-C
216,sudden,B-E
216,braking,I-C
225,danger,I-E
226,obstruction,B-C
232,crash,I-E
232,failure,I-E
232,steering,I-C
235,failure,I-C
236,issues,I-E
239,made,B-E
239,noise,I-E
244,failure,I-C
244,loss,I-E
250,research,I-C
251,dangerous,I-E
251,driving,I-E
251,situation,I-E
252,problems,I-E
253,electric,I-C
253,power,I-C
253,steering,I-C
253,system,I-C
253,fault,I-C
255,failure,I-E
255,software,I-C
255,failure,I-C
257,recall,I-E
270,recall,I-E
272,sudden,B-E
277,failure,I-C
277,failure,I-C
280,failure,I-E
281,imminent,B-E
281,collision,I-E
283,sudden,B-E
286,failure,I-C
288,failure,I-C
290,failure,I-C
291,loud,B-E
292,delay,I-E
293,forward,B-C
293,collision,I-C
293,system,I-C
293,failure,I-E
294,failure,I-C
294,stress,I-C
295,metal,B-C
295,risk,I-E
301,force,I-C
306,failure,I-C
306,failure,I-C
308,failure,I-C
309,sudden,B-E
309,loud,I-E
311,emergency,I-C
311,impact,I-C
311,unknown,B-C
311,injuries,I-C
313,failure,I-C
320,loss,I-C
320,failure,I-C
320,current,B-C
333,accident,I-E
334,issue,I-C
335,failure,I-C
336,sound,I-E
338,warning,B-E
340,failure,I-C
342,steering,B-C
343,failure,I-C
345,law,B-E
345,suit,I-E
349,sudden,I-C
349,loss,I-C
350,failure,I-E
358,loss,B-C
359,failure,I-C
359,failure,I-C
360,safety,I-C
365,noise,I-E
374,power,B-C
374,steering,I-C
374,assist,I-C
374,fault,I-C
377,problem,I-C
382,failure,I-C
383,failure,I-C
387,loss,I-C
387,steering,I-C
395,causing,B-E
395,collision,I-E
399,corrosion,I-C
399,failure,I-C
408,failure,I-C
413,noise,I-E
414,heavy,B-E
415,turn,I-C
415,failure,I-C
416,recall,I-E
416,issue,I-C
418,contamination,I-C
418,short,I-E
418,loss,I-E
418,loss,I-E
420,failure,I-C
421,issue,I-C
423,failure,B-C
423,alert,I-C
424,accident,I-E
428,engine,I-C
433,rapid,B-E
433,noise,I-E
443,failure,I-C
