,Sentence
0,the vehicle has had ongoing issues since it was purchased in june of 2017 the shift to park problem had to be fixed twice the emergency braking system engages itself for no apparent reason which has almost caused several accidents the horn does not work when needed in emergency situations the headlights are so dim its dangerous the battery has drained and left my wife stranded 4 times and the vehicle has a very rough idle and it almost stalls out i attempted to work with gm to have them take the car back early lease and the request was recently denied this is my 3rd acadia and it by far is the most dangerous car i have ever driven i am now reading about
1,tl the contact owns a 2015 ford fusion while operating the vehicle the power steering assist failed and caused the steering wheel to become very difficult to turn in either direction the vehicle was taken to an unknown dealer to be diagnosed the contact was informed that the steering rack was defective and needed to be replaced the vehicle was not repaired the manufacturer was notified of the failure there was no assistance offered the failure mileage was 10000000
2,experienced loss of electric power steering assist while driving on winding mountain road within 11 months of having recall 14s06 performed on vehicle was informed by ford service that cause was failure of part replaced to resolve recall 14s06
3,car has almost 15000 miles it has developed a strange sticking issue in the steering while driving on the highway it almost feels like someone is lightly holding onto the wheel as im slightly turning and then suddenly lets go this causes me to overcorrect to stay in the lane and it becomes a fight to keep the car in between lanes it is most apparent when exiting freeway ramps and changing lanes although its also apparent on the freeway when small corrections are needed to keep the vehicle in between lanes the other symptom is that the car has become difficult to keep in a straight line it requires constant light correction of the steering wheel because the car
4,same as other people - i juts copied another persons complaint as its identical and same mileage etc - this is a real problem car has almost 15000 miles it has developed a strange sticking issue in the steering while driving on the highway it almost feels like someone is lightly holding onto the wheel as im slightly turning and then suddenly lets go this causes me to overcorrect to stay in the lane and it becomes a fight to keep the car in between lanes it is most apparent when exiting freeway ramps and changing lanes although its also apparent on the freeway when small corrections are needed to keep the vehicle in between lanes the other symptom
5,driving on highway 10 lake city to jacksonville fl suddenly heavy rain caused car to skid driving in autopilot mode at 70mph the road changed from asphalt to concrete and car could not handle that change car went into hydroplanskid mode with 15 snake lapses before i could bring it to rest on shoulder we were lucky to have survived as a semi truck was just 20 seconds behind us the car even after halting accerelated on its own causing another small burst of skiddingto add to the woes - the auomated wipers on this car are too slow sudden rain pour on windshield cause lack of
6,cause unknown the vehicle was stopped just before entering into a head in parking space when with the brake depressed the vehicle accelerated suddenly and uncontrollably causing it to jump the curb and take down a retaining wall it continued through the wall until it was stopped by a tree vehicle was a total loss vehicle settings at the time of incident were as follows there is no autopilot on this model s and cruise control was off additionally the car was set with creep mode off hvac was on
7,on many occasions the automatic braking system and blind spot detection systems have engaged at inappropriate times most recently the automatic braking system engaged when safely merging with proper signaling from the right lane which was ending to the next to the left lane when the only vehicle in the vicinity was fully in the left turn lane there was enough space between our vehicle and the vehicle behind to avoid a rear end collision but the hard braking was unnecessary and could have caused damage or more serious injuries than those sustained by the driver and passenger caused by the seatbelt locking on the collarbone and chest because of the sudden application of brakes another recent incident was on the freeway when safely changing on many occasions the automatic braking system and blind spot detection systems have engaged at inappropriate times most recently the automatic braking system engaged when safely merging with proper signaling from the right lane which was ending to the next to the left lane when the only vehicle in the vicinity was fully in the left turn lane there was enough space between our vehicle and the vehicle behind to avoid a rear end collision but the hard braking was unnecessary and could have caused damage or more serious injuries than those sustained by the driver and passenger caused by the seatbelt locking on the collarbone and chest because of the sudden application of brakes another recent incident was on the freeway when safely changing
8,tl the contact owns a 2013 ford fusion the contact stated that after starting the vehicle the message steering assist failure had displayed and the steering wheel was difficult to turn in either direction the cause of the failure was not yet determined the manufacturer and local dealer were not notified the failure mileage was 4300000
9,tl the contact owns a 2011 ford fusion the contact stated that after starting the vehicle the power steering assist fault warning light displayed on the instrument panel and the steering wheel became difficult to turn in either direction the failure occurred on multiple occasions the cause of the failure was not determined the local dealer and manufacturer was not notified the failure mileage was 12500000
10,tl the contact owns a 2010 ford fusion the contact stated that the brake pedal had to be depressed to the floorboard to stop the vehicle the power steering assist warning light illuminated the vehicle was taken to an independent mechanic where the master cylinder was inspected the mechanic was unable provide a cause of the failure the vehicle was not repaired the vehicle was not taken to a dealer the manufacturer was not made aware of the failure the failure mileage was approximately 17500000
