sentence_id,word,label
2,the,O
2,vehicle,O
2,has,O
2,had,O
2,ongoing,O
2,issues,O
2,since,O
2,it,O
2,was,O
2,purchased,O
2,in,O
2,june,O
2,of,O
2,2017,O
2,the,O
2,shift,O
2,to,O
2,park,O
2,problem,O
2,had,O
2,to,O
2,be,O
2,fixed,O
2,twice,O
2,the,B-C
2,emergency,I-C
2,braking,I-C
2,system,I-C
2,engages,O
2,itself,O
2,for,O
2,no,O
2,apparent,O
2,reason,O
2,which,O
2,has,O
2,almost,O
2,caused,O
2,several,B-E
2,accidents,I-E
2,the,I-E
2,horn,I-E
2,does,I-E
2,not,I-E
2,work,I-E
2,when,O
2,needed,O
2,in,O
2,emergency,O
2,situations,O
2,the,O
2,headlights,I-E
2,are,I-E
2,so,I-E
2,dim,I-E
2,its,O
2,dangerous,O
2,the,I-E
2,battery,I-E
2,has,I-E
2,drained,O
2,and,O
2,left,O
2,my,O
2,wife,O
2,stranded,O
2,4,O
2,times,O
2,and,O
2,the,O
2,vehicle,O
2,has,O
2,a,O
2,very,O
2,rough,O
2,idle,O
2,and,O
2,it,O
2,almost,O
2,stalls,O
2,out,O
2,i,O
2,attempted,O
2,to,O
2,work,O
2,with,O
2,gm,O
2,to,O
2,have,O
2,them,O
2,take,O
2,the,O
2,car,O
2,back,O
2,early,O
2,lease,O
2,and,O
2,the,O
2,request,O
2,was,O
2,recently,O
2,denied,O
2,this,O
2,is,O
2,my,O
2,3rd,O
2,acadia,O
2,and,O
2,it,O
2,by,O
2,far,O
2,is,O
2,the,O
2,most,O
2,dangerous,O
2,car,O
2,i,O
2,have,O
2,ever,O
2,driven,O
2,i,O
2,am,O
2,now,O
2,reading,O
2,about,O
20,tl,O
20,the,O
20,contact,O
20,owns,O
20,a,O
20,2015,O
20,ford,O
20,fusion,O
20,while,O
20,operating,O
20,the,O
20,vehicle,O
20,the,B-C
20,power,I-C
20,steering,I-C
20,assist,I-C
20,failed,O
20,and,O
20,caused,O
20,the,B-E
20,steering,I-E
20,wheel,I-E
20,to,I-E
20,become,I-E
20,very,I-E
20,difficult,I-E
20,to,I-E
20,turn,I-E
20,in,I-E
20,either,I-E
20,direction,I-E
20,the,O
20,vehicle,O
20,was,O
20,taken,O
20,to,O
20,an,O
20,unknown,O
20,dealer,O
20,to,O
20,be,O
20,diagnosed,O
20,the,O
20,contact,O
20,was,O
20,informed,O
20,that,O
20,the,O
20,steering,O
20,rack,O
20,was,O
20,defective,O
20,and,O
20,needed,O
20,to,O
20,be,O
20,replaced,O
20,the,O
20,vehicle,O
20,was,O
20,not,O
20,repaired,O
20,the,O
20,manufacturer,O
20,was,O
20,notified,O
20,of,O
20,the,O
20,failure,O
20,there,O
20,was,O
20,no,O
20,assistance,O
20,offered,O
20,the,O
20,failure,O
20,mileage,O
20,was,O
20,10000000,O
30,experienced,O
30,loss,B-E
30,of,I-E
30,electric,I-E
30,power,I-E
30,steering,I-E
30,assist,I-E
30,while,O
30,driving,O
30,on,O
30,winding,O
30,mountain,O
30,road,O
30,within,O
30,11,O
30,months,O
30,of,O
30,having,O
30,recall,O
30,14s06,O
30,performed,O
30,on,O
30,vehicle,O
30,was,O
30,informed,O
30,by,O
30,ford,O
30,service,O
30,that,O
30,cause,O
30,was,O
30,failure,B-C
30,of,I-C
30,part,I-C
30,replaced,I-C
30,to,O
30,resolve,O
30,recall,O
30,14s06,O
44,car,O
44,has,O
44,almost,O
44,15000,O
44,miles,O
44,it,O
44,has,O
44,developed,O
44,a,O
44,strange,O
44,sticking,O
44,issue,O
44,in,O
44,the,O
44,steering,O
44,while,O
44,driving,O
44,on,O
44,the,O
44,highway,O
44,it,O
44,almost,O
44,feels,O
44,like,O
44,someone,O
44,is,O
44,lightly,O
44,holding,O
44,onto,O
44,the,O
44,wheel,O
44,as,O
44,im,O
44,slightly,O
44,turning,O
44,and,O
44,then,O
44,suddenly,O
44,lets,O
44,go,O
44,this,O
44,causes,O
44,me,O
44,to,O
44,overcorrect,O
44,to,O
44,stay,O
44,in,O
44,the,O
44,lane,O
44,and,O
44,it,O
44,becomes,O
44,a,O
44,fight,O
44,to,O
44,keep,O
44,the,O
44,car,O
44,in,O
44,between,O
44,lanes,O
44,it,O
44,is,O
44,most,O
44,apparent,O
44,when,O
44,exiting,O
44,freeway,O
44,ramps,O
44,and,O
44,changing,O
44,lanes,O
44,although,O
44,its,O
44,also,O
44,apparent,O
44,on,O
44,the,O
44,freeway,O
44,when,O
44,small,O
44,corrections,O
44,are,O
44,needed,O
44,to,O
44,keep,O
44,the,O
44,vehicle,O
44,in,O
44,between,O
44,lanes,O
44,the,O
44,other,O
44,symptom,O
44,is,O
44,that,O
44,the,O
44,car,O
44,has,O
44,become,O
44,difficult,O
44,to,O
44,keep,O
44,in,O
44,a,O
44,straight,O
44,line,O
44,it,O
44,requires,O
44,constant,O
44,light,O
44,correction,O
44,of,O
44,the,O
44,steering,O
44,wheel,O
44,because,O
44,the,O
44,car,O
68,same,O
68,as,O
68,other,O
68,people,O
68,-,O
68,i,O
68,juts,O
68,copied,O
68,another,O
68,persons,O
68,complaint,O
68,as,O
68,its,O
68,identical,O
68,and,O
68,same,O
68,mileage,O
68,etc,O
68,-,O
68,this,O
68,is,O
68,a,O
68,real,O
68,problem,O
68,car,O
68,has,O
68,almost,O
68,15000,O
68,miles,O
68,it,O
68,has,O
68,developed,O
68,a,O
68,strange,O
68,sticking,O
68,issue,O
68,in,O
68,the,O
68,steering,O
68,while,O
68,driving,O
68,on,O
68,the,O
68,highway,O
68,it,O
68,almost,O
68,feels,O
68,like,O
68,someone,O
68,is,O
68,lightly,O
68,holding,O
68,onto,O
68,the,O
68,wheel,O
68,as,O
68,im,O
68,slightly,O
68,turning,O
68,and,O
68,then,O
68,suddenly,O
68,lets,O
68,go,O
68,this,O
68,causes,O
68,me,O
68,to,O
68,overcorrect,O
68,to,O
68,stay,O
68,in,O
68,the,O
68,lane,O
68,and,O
68,it,O
68,becomes,O
68,a,O
68,fight,O
68,to,O
68,keep,O
68,the,O
68,car,O
68,in,O
68,between,O
68,lanes,O
68,it,O
68,is,O
68,most,O
68,apparent,O
68,when,O
68,exiting,O
68,freeway,O
68,ramps,O
68,and,O
68,changing,O
68,lanes,O
68,although,O
68,its,O
68,also,O
68,apparent,O
68,on,O
68,the,O
68,freeway,O
68,when,O
68,small,O
68,corrections,O
68,are,O
68,needed,O
68,to,O
68,keep,O
68,the,O
