Sentence_id,Word,Label (J),Label (M),Label (Z),Unnamed: 5,Unnamed: 6,Unnamed: 7,O,B-C,I-C,B-E,I-E,B-BE,I-BE,Total_Label
1.0,the,O,O,O,,,,,,,,,,,O
1.0,vehicle,O,O,O,,,,,,,,,,,O
1.0,has,O,O,O,,,Word,,,,,,,,O
1.0,had,O,O,O,,,the,,,,,,,,O
1.0,ongoing,O,O,O,,,vehicle,,,,,,,,O
1.0,issues,O,O,O,,,has,,,,,,,,O
1.0,since,O,O,O,,,had,,,,,,,,O
1.0,it,O,O,O,,,ongoing,,,,,,,,O
1.0,was,O,O,O,,,issues,,,,,,,,O
1.0,purchased,O,O,O,,,since,,,,,,,,O
1.0,in,O,O,O,,,it,,,,,,,,O
1.0,june,O,O,O,,,was,,,,,,,,O
1.0,of,O,O,O,,,purchased,,,,,,,,O
1.0,2017,O,O,O,,,in,,,,,,,,O
1.0,the,O,O,O,,,june,,,,,,,,O
1.0,shift,O,O,O,,,of,,,,,,,,O
1.0,to,O,O,O,,,2017,,,,,,,,O
1.0,park,O,O,O,,,the,,,,,,,,O
1.0,problem,O,O,O,,,shift,,,,,,,,O
1.0,had,O,O,O,,,to,,,,,,,,O
1.0,to,O,O,O,,,park,,,,,,,,O
1.0,be,O,O,O,,,problem,,,,,,,,O
1.0,fixed,O,O,O,,,had,,,,,,,,O
1.0,twice,O,O,O,,,to,,,,,,,,O
1.0,the,B-C,B-C,B-C,,,be,,,,,,,,B-C
1.0,emergency,I-C,I-C,I-C,,,fixed,,,,,,,,I-C
1.0,braking,I-C,I-C,I-C,,,twice,,,,,,,,I-C
1.0,system,I-C,I-C,I-C,,,the,,,,,,,,I-C
1.0,engages,O,O,I-C,,,emergency,,,,,,,,O
1.0,itself,O,O,I-C,,,braking,,,,,,,,O
1.0,for,O,O,O,,,system,,,,,,,,O
1.0,no,O,O,O,,,engages,,,,,,,,O
1.0,apparent,O,O,O,,,itself,,,,,,,,O
1.0,reason,O,O,O,,,for,,,,,,,,O
1.0,which,O,O,O,,,no,,,,,,,,O
1.0,has,O,O,O,,,apparent,,,,,,,,O
1.0,almost,O,O,O,,,reason,,,,,,,,O
1.0,caused,O,O,O,,,which,,,,,,,,O
1.0,several,B-E,B-E,B-E,,,has,,,,,,,,B-E
1.0,accidents,I-E,I-E,I-E,,,almost,,,,,,,,I-E
1.0,the,I-E,O,O,,,caused,,,,,,,,I-E
1.0,horn,I-E,O,O,,,several,,,,,,,,I-E
1.0,does,I-E,O,O,,,accidents,,,,,,,,I-E
1.0,not,I-E,O,O,,,the,,,,,,,,I-E
1.0,work,I-E,O,O,,,horn,,,,,,,,I-E
1.0,when,O,O,O,,,does,,,,,,,,O
1.0,needed,O,O,O,,,not,,,,,,,,O
1.0,in,O,O,O,,,work,,,,,,,,O
1.0,emergency,O,O,O,,,when,,,,,,,,O
1.0,situations,O,O,O,,,needed,,,,,,,,O
1.0,the,O,B-C,B-C,,,in,,,,,,,,O
1.0,headlights,I-E,I-C,I-C,,,emergency,,,,,,,,I-E
1.0,are,I-E,O,I-C,,,situations,,,,,,,,I-E
1.0,so,I-E,O,I-C,,,the,,,,,,,,I-E
1.0,dim,I-E,O,I-C,,,headlights,,,,,,,,I-E
1.0,its,O,O,B-E,,,are,,,,,,,,O
1.0,dangerous,O,B-E,I-E,,,so,,,,,,,,O
1.0,the,I-E,B-C,B-C,,,dim,,,,,,,,I-E
1.0,battery,I-E,I-C,I-C,,,its,,,,,,,,I-E
1.0,has,I-E,O,I-C,,,dangerous,,,,,,,,I-E
1.0,drained,O,O,I-C,,,the,,,,,,,,O
1.0,and,O,O,O,,,battery,,,,,,,,O
1.0,left,O,O,B-E,,,has,,,,,,,,O
1.0,my,O,B-E,I-E,,,drained,,,,,,,,O
1.0,wife,O,I-E,I-E,,,and,,,,,,,,O
1.0,stranded,O,I-E,I-E,,,left,,,,,,,,O
1.0,4,O,O,I-E,,,my,,,,,,,,O
1.0,times,O,O,I-E,,,wife,,,,,,,,O
1.0,and,O,O,O,,,stranded,,,,,,,,O
1.0,the,O,O,B-C,,,4,,,,,,,,O
1.0,vehicle,O,O,I-C,,,times,,,,,,,,O
1.0,has,O,O,I-C,,,and,,,,,,,,O
1.0,a,O,O,I-C,,,the,,,,,,,,O
1.0,very,O,O,I-C,,,vehicle,,,,,,,,O
1.0,rough,O,B-C,I-C,,,has,,,,,,,,O
1.0,idle,O,I-C,I-C,,,a,,,,,,,,O
1.0,and,O,O,O,,,very,,,,,,,,O
1.0,it,O,O,B-E,,,rough,,,,,,,,O
1.0,almost,O,O,I-E,,,idle,,,,,,,,O
1.0,stalls,O,B-E,I-E,,,and,,,,,,,,O
1.0,out,O,I-E,I-E,,,it,,,,,,,,O
1.0,i,O,O,O,,,almost,,,,,,,,O
1.0,attempted,O,O,O,,,stalls,,,,,,,,O
