0,1,2,3,4,5
adaptive cruise,adaptive cruise control,,,,
steering assist,,,,,
emergency braking system,,,,,
lane assist,,,,,
steering assist,,,,,
steering assist,,,,,
adaptive cruise,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
adaptive cruise control,lane keep,adaptive cruise,lane keep assist,,
steering assist,,,,,
steering assist,,,,,
adaptive cruise,adaptive cruise control,,,,
steering assist,,,,,
steering assist,,,,,
automatic braking,,,,,
steering assist,,,,,
autopilot,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
forward collision avoidance,,,,,
autopilot,,,,,
autopilot,,,,,
steering assist,,,,,
emergency braking system,,,,,
autopilot,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
smart cruise control,,,,,
lane keep,pedestrian detection,lane keep assist,,,
forward emergency braking,,,,,
lane keep,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
lane keep,lane keep assist,,,,
steering assist,,,,,
steering assist,,,,,
forward collision avoidance,,,,,
steering assist,,,,,
emergency braking system,,,,,
steering assist,,,,,
autopilot,,,,,
steering assist,,,,,
adaptive cruise,,,,,
automatic high beams,,,,,
steering assist,,,,,
automatic braking,,,,,
steering assist,,,,,
lane assist,,,,,
autopilot,,,,,
steering assist,,,,,
steering assist,,,,,
autopilot,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
autopilot,,,,,
lane keep,lane keep assist,,,,
steering assist,,,,,
steering assist,,,,,
autopilot,,,,,
autopilot,,,,,
autopilot,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
autopilot,,,,,
autopilot,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
autopilot,,,,,
automatic braking,,,,,
autopilot,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
lane assist,,,,,
steering assist,,,,,
automatic braking,,,,,
emergency braking system,,,,,
steering assist,,,,,
lane keep,lane keep assist,,,,
lane assist,,,,,
steering assist,,,,,
autopilot,,,,,
steering assist,,,,,
lane assist,,,,,
lane keep,steering assist,lane keeping,,,
lane assist,lane assist warning,,,,
steering assist,,,,,
lane keep,steering assist,forward collision alert,lane keep assist,,
steering assist,,,,,
automatic braking,,,,,
blind spot assist,,,,,
steering assist,,,,,
lane keep,lane keep assist,,,,
auto pilot,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
auto pilot,,,,,
adaptive cruise control,lane keep,adaptive cruise,lane keep assist,,
lane assist,,,,,
autopilot,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
forward emergency braking,,,,,
steering assist,,,,,
steering assist,,,,,
lane assist,,,,,
steering assist,,,,,
adaptive cruise,adaptive cruise control,,,,
steering assist,,,,,
steering assist,,,,,
emergency braking system,,,,,
emergency braking system,,,,,
adaptive cruise,adaptive cruise control,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
automatic braking,,,,,
lane assist,,,,,
steering assist,,,,,
pedestrian detection,,,,,
steering assist,,,,,
lane assist,,,,,
steering assist,,,,,
automatic braking,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
adaptive cruise,adaptive cruise control,,,,
autopilot,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
adaptive cruise,automatic braking,lane assist,,,
emergency braking system,,,,,
automatic braking,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
automatic braking,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
lane assist,,,,,
lane keep,lane keep assist,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
emergency braking system,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
autopilot,,,,,
steering assist,,,,,
lane keep,lane keeping,,,,
steering assist,,,,,
steering assist,,,,,
lane assist,,,,,
auto pilot,autopilot,,,,
steering assist,,,,,
emergency braking system,,,,,
autopilot,,,,,
steering assist,,,,,
adaptive cruise,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
adaptive cruise,lane assist,,,,
dynamic cruise control,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
adaptive cruise,adaptive cruise control,,,,
steering assist,,,,,
steering assist,,,,,
pilot assist,,,,,
steering assist,,,,,
automatic braking,,,,,
steering assist,,,,,
steering assist,,,,,
lane assist,,,,,
autopilot,,,,,
adaptive cruise,adaptive cruise control,,,,
steering assist,,,,,
autopilot,,,,,
steering assist,,,,,
emergency braking system,,,,,
lane assist,,,,,
lane assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
emergency braking system,,,,,
steering assist,,,,,
steering assist,,,,,
adaptive cruise,adaptive cruise control,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
blind spot collision warning,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
autopilot,,,,,
steering assist,,,,,
adaptive cruise,adaptive cruise control,,,,
steering assist,,,,,
blind spot collision warning,,,,,
blind spot assist,,,,,
steering assist,,,,,
lane keep,lane keeping,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
dynamic cruise control,,,,,
steering assist,,,,,
automatic braking,,,,,
automatic braking,,,,,
steering assist,,,,,
driver monitoring,autopilot,,,,
forward collision avoidance,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
adaptive cruise,lane assist,adaptive cruise control,,,
steering assist,,,,,
lane assist,,,,,
steering assist,,,,,
steering assist,,,,,
forward emergency braking,,,,,
steering assist,,,,,
adaptive cruise,automatic braking,adaptive cruise control,,,
automatic braking,,,,,
lane assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
forward collision avoidance,,,,,
steering assist,,,,,
emergency braking system,,,,,
steering assist,,,,,
emergency braking system,forward emergency braking,,,,
emergency braking system,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
automatic braking,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
forward collision avoidance,,,,,
lane keep,lane keeping,,,,
steering assist,,,,,
forward collision alert,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
autopilot,,,,,
adaptive cruise,adaptive cruise control,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
steering assist,,,,,
adaptive cruise,adaptive cruise control,,,,
steering assist,,,,,
